Vietnamese,Bahnaric
Hạng mục. Các hạng mục của di sản này bao gồm:,Tơdrong buk. đe tơdrong buk dĭ yi san nơ̆u pơkau thoi lĕ:
Tháng 1 Tháng 2 Tháng 3 Tháng 5 Tháng 8 Tháng 9 Tháng 10 Tháng 11 Tháng 12 Tháng 2 Tháng 3 Tháng 5 Tháng 7 Tháng 11,Khĕi 1 khĕi 2 khĕi pêng khĕi pơđăm khĕi 8 khĕi 9 khĕi 10 khĕi 11 khĕi 12 khĕi 2 khĕi pêng khĕi pơđăm khĕi tơpơh khĕi 11
"Tiểu sử. Tác phẩm. Một tấm lòng thơ. Gia quyến. Hậu duệ. Tùng Thiện vương có tất cả 20 con trai, 12 con gái Nhận xét chung.","Tiểu kông. tak phâm. minh chơđeh klak kơthơ. gia bơnat. hâ̆u chăng. Tùng đunh bĭ ơ̆i đí 20 tŏ nam, 12 kon kơdiŏng drong xĕt adrĭng."
Tháng 1 Tháng 3 Tháng 4 Tháng 5 Tháng 6 Tháng 7 Tháng 8 Tháng 9 Tháng 12 Tháng 2 Tháng 8 Tháng 10 Tháng 12,Khĕi 1 khĕi pêng khĕi 4 khĕi pơđăm khĕi 6 khĕi tơpơh khĕi 8 khĕi 9 khĕi 12 khĕi 2 khĕi 8 khĕi 10 khĕi 12
Tháng 1 Tháng 3 Tháng 6 Tháng 8 Tháng 9 Tháng 10 Tháng 12 Tháng 4 Tháng 6 Tháng 7 September Tháng 10 Tháng 11,Khĕi 1 khĕi pêng khĕi 6 khĕi 8 khĕi 9 khĕi 10 khĕi 12 khĕi 4 khĕi 6 khĕi tơpơh khĕi 10 khĕi 11
Thân thế. Trị vì. Niên hiệu Thiệu Phong. Suy trị. Chiến tranh với Chiêm Thành. Bang giao với Trung Quốc.,Akău tơnglơ̆i. tri vi. pơkau hiêu Thiệu Phong. Suy tri. tơplah adrĭng Chiêm Thành. bang drong adrĭng Trung Quốc.
Họ Doãn ở Việt Nam. Người Việt Nam họ Doãn có danh tiếng. Liên kết ngoài.,Đe Doãn lơ̆m Việt Nam. bơngai viêt nam đe Doãn ơĭ danh 'bơl. liên kêt gloh.
Chiến tranh biên giới Việt - Trung có thể là:,Tơplah biên yơ̆i Việt - Trung ơ̆i tơdrong pơm la:
Sự kiện ma túy ở Vũ trường. Thông tin thêm.,Sư tơdrong atơ̆u nhŭ lơ̆m vu trương. thông tin pơkau.
Cuộc thi Hoa hậu Hoàn vũ. Cuộc thi Hoa hậu Thế giới.,Ka thi khoa hâ̆u hoan vu. ka thi khoa hâ̆u thê yơ̆i.
Tháng 1 Tháng 2 Tháng 3 Tháng 5 Tháng 6 Tháng 7 Tháng 8 Tháng 9 Tháng 10 Tháng 12 Tháng 2 Tháng 3 Tháng 4 Tháng 5 Tháng 10 Tháng 11 Tháng 12,Khĕi 1 khĕi 2 khĕi pêng khĕi pơđăm khĕi 6 khĕi tơpơh khĕi 8 khĕi 9 khĕi 10 khĕi 12 khĕi 2 khĕi pêng khĕi 4 khĕi pơđăm khĕi 10 khĕi 11 khĕi 12
Cây biểu diễn tập. Các phép toán trên tập. Tạo một tập mới chỉ gồm một phần tử u. Tìm tập hợp chứa phần tử u. Hợp hai tập.,Long pơđam ăn yiên tâp. đe phep toan kơpưng tâp. tao minh tâp nau pơchi thoi lĕ minh phân bet mĭ. chă tâp hơp mong phân bet bŏ. hơp bal tâp.
"Mê Linh là một huyện ngoại thành nằm ở phía bắc thành phố Hà Nội, Việt Nam. Mê Linh cổ. Lịch sử. Hành chính. Hạ tầng. Giao thông công cộng. Làng nghề.","Mê Linh la minh huên ngoai thanh 'bich lơ̆m tơkan băk Thanh Phô̆ Hà Nội, Việt Nam. suai 'bǐa long kơdrưng. lich lơ̆m. hanh chinh. ha tâng. trong năm kơwơng kô̆ng. pơlei nghê."
Xem thêm. Một số dạng sàng phân tử là:,Ngŏ pơkau. minh sô dang pơkau ich bet la:
Nguyên mẫu. Tiểu sử. gia nhập Lương Sơn Bạc. Cái chết.,In đŭnh mâu. tiểu kông. gia xuât Lương Sơn ko. blah luôch.
Tháng 1 Tháng 2 Tháng 3 Tháng 5 Tháng 6 Tháng 7 Tháng 10 Tháng 12 Tháng 1 Tháng 3 Tháng 7 Tháng 11,Khĕi 1 khĕi 2 khĕi pêng khĕi pơđăm khĕi 6 khĕi tơpơh khĕi 10 khĕi 12 khĕi 1 khĕi pêng khĕi tơpơh khĕi 11
Tháng 2 Tháng 3 Tháng 4 Tháng 5 Tháng 6 Tháng 7 Tháng 8 Tháng 11 Tháng 12 Tháng 11,Khĕi 2 khĕi pêng khĕi 4 khĕi pơđăm khĕi 6 khĕi tơpơh khĕi 8 khĕi 11 khĕi 12 khĕi 11
Nội dung. Sản xuất. Âm nhạc. Phát hành. Phản hồi. Phòng vé. Phê bình.,Nô̆i yung. choh jang. mŭ lak. phat kơdĭm. tơkai hôi. răp vé. phê binh.
"Chòm sao Tiên Vương nằm kề các chòm sao Tiểu Hùng, Thiên Long, Thiên Nga, Hiết Hổ, Tiên Hậu, Lộc Báo. Thiên thể.","Juô̆ hơdriêng Tiên Vương 'bich atơ̆t đe juô̆ hơdriêng Tiểu Hùng, Thiên Long, hyôk, Hiết Hổ, Tiên Hậu, Lộc Báo. khĕi thê."
"Chòm sao Kình Ngư nằm kề các chòm sao Bạch Dương, Song Ngư, Bảo Bình, Ngọc Phu, Thiên Lô, Ba Giang, Kim Ngưu. Thiên thể.","Juô̆ hơdriêng pơtăng ngư 'bich atơ̆t đe juô̆ hơdriêng Bạch Dương, Song Ngư, Bảo Bình, Ngọc Phu, Thiên Lô, Pêng Giang, Kim Ngưu. khĕi thê."
"Chòm sao Viên Quy nằm kề các chòm sao Bán Nhân Mã, Thương Dăng, Thiên Yến, Nam Tam Giác, Củ Xích, Sài Lang. Thiên thể.","Juô̆ hơdriêng viên Quy 'bich atơ̆t đe juô̆ hơdriêng Bán Nhân Mã, Thương săng, Thiên Yến, Nam Tam Giác, Củ Xích, Sài Lang. khĕi thê."
Thành phố kết nghĩa. Anchorage có một số thành phố kết nghĩa:,Thanh phô̆ kê̆t nghia. an toan rage ơĭ minh sô thanh phô̆ kê̆t nghia:
Phát triển. Phụ kiện và các biến thể.,Pơjing. tơdrong boi wơih đe biên thê.
Nội dung. Sản xuất. Giải thưởng. Tại Cánh diều vàng 2004,Nô̆i yung. choh jang. giai ơh. lơ̆m pơnal sem klang bia 2004
"Lịch sử. Nội dung nghiên cứu. Di cư, nhập cư, tăng dân số cơ học. Môi trường sống và môi trường xã hội.","Lich lơ̆m. nô̆i yung nghiên kư̆u. yi cư, xuât cư, kjung dân sô cơ hok. môi trương arih wơih môi trương xa hô̆i."
Nội dung. Diễn viên. Sản xuất. Phát triển. Tuyển vai. Quay phim. Nhạc phim. Phát hành. Tiếp nhận. Việt Nam. Quốc tế. Giải thưởng. Di sản.,Nô̆i yung. yiên viên. choh jang san. pơjing phat. thŏng sơhngliêng. pơdal khĕi. lak khĕi. phat kơdĭm. piêu drong. Việt Nam. kuô̆c tê̆. giai ơh. yi san.
Trồng. Sử dụng. Y học. Cung cấp. Dân gian. Lịch sử.,Pơtăm. chă yuô. y hok. sư̆ tơguêm. yân alah plach. lich lơ̆m.
Nguồn gốc. Tên gọi. Lịch sử. Hưng thịnh. Suy tàn. Xã hội. Quân sự. Khí giới. Tổ chức.,Tu tơm. măt krau. lich lơ̆m. pơkau thinh. khĕi gơdai. xa hô̆i. quân sư. khiê yơ̆i. p'lơk.
"Chòm sao Bắc Miện nằm kề các chòm sao Vũ Tiên, Mục Phu, Cự Xà. Thiên thể.","Juô̆ hơdriêng Bắc Miện 'bich atơ̆t đe juô̆ hơdriêng Vũ Tiên, Mục Phu, Cự Xà. khĕi thê."
Tên gọi. Hoặc con trai của Pegasus - Celeris Thiên thể.,Măt krau. liêm kon tơhnglo dĭ Pegasus - Celeris Thiên Thể.
"Chòm sao Thiên Lô nằm kề các chòm sao Kình Ngư, Ngọc Phu, Phượng Hoàng, Ba Giang. Thiên thể.","Juô̆ hơdriêng Thiên Lô 'bich atơ̆t đe juô̆ hơdriêng pơtăng ngư, Ngọc Phu, Phượng Hoàng, Ba Giang. khĕi thê."
"Chòm sao Vũ Tiên nằm kề các chòm sao Thiên Long, Mục Phu, Bắc Miện, Cự Xà, Xà Phu, Thiên Ưng, Thiên Tiễn, Hồ Ly, Thiên Cầm. Tên gọi. Thiên thể.","Juô̆ hơdriêng Vũ Tiên 'bich atơ̆t đe juô̆ hơdriêng Thiên Long, Mục Phu, Bắc Miện, Cự Xà, Xà Phu, Thiên Ưng, Thiên Tiễn, Hồ Ly, Thiên Cầm. măt krau. khĕi tơnglơ̆i."
Tổ chức. Trường hiện có 11 khoa sau:,P'lơk. trương boh ơĭ 11 khoa đưng kơdŭ:
Lịch sử. Phát triển kết cấu. Khuôn viên tòa nhà 1. Khuôn viên tòa nhà 2. Bộ phận.,Lich lơ̆m. pơjing kê̆t câu. khuôn viên toà hnam 1. khuôn tŏ toà hnam 2. bô̆ pơluk.
Các khu trường sở. Khu trường sở Gluay Nam Tai. Khu trường sở Rangsit.,Đe kơnĭt trương sơ. kơnĭt đuôĭ sơ Gluay Nam Tai. kơnĭt trương sơ rangsit.
"Mô tả. Hạt chín vào tháng 2-3. Chưa thấy tái sinh bằng hạt ở núi Ngọc Linh, cũng như ở các nơi khác, sinh trưởng chậm. Nơi sống và sinh thái. Phân bố. Giá trị. Tình trạng. Biện pháp bảo vệ. Phân loài.","Mô ta. gĕl đum lêch khĕi 2 - 3. đim boh yŏk sinh tơmăn gĕl lơ̆m Kông Ngọc Linh, hơdơi khĕi lơ̆m đe dơnŏ kơdih, sinh plăt đunh. dơnŏ arih wơih sinh thai. ich pêng. giă tri. tơdrong. viên phap jư. ich loai."
"Thân thế. Lên ngôi. Quyền thần Trương Phước Loan. Chiến tranh với Xiêm La. Khủng hoảng kinh tế và nổi dậy. Tây Sơn khởi nghĩa. Quân Trịnh nam tiến. Tây Sơn liên Trịnh công Nguyễn. Kháng chiến ở miền Nam. Bại trận, thân vong.","Akău tơnglơ̆i. suôn drŏng. kuiên yang Trương Phước Loan. tơplah chiên adrĭng xiêm la. yŭ kinh tê̆ wơih đơng yung. Tây Sơn khởi nghia. Quân Trịnh tơhnglo tiê̆n. Tây Sơn liên bơlŏ kơwơng Nguyễn. khang chiên lơ̆m Miền Nam. thuô nưih, akău khĕi."
Thân thế. Cai trị. Không có thực quyền. Chiến tranh với Chiêm Thành. Bang giao với nhà Minh. Họa ngoại thích.,Akău tơnglơ̆i. khĕi tri. biê ơ̆i thưc kuiên. tơplah adrĭng Chiêm Thành. bang drong adrĭng hnam Minh. đon ngoai wă.
"Chòm sao Sài Lang nằm kề các chòm sao Củ Xích, Thiên Hạt, Viên Quy, Bán Nhân Mã, Thiên Xứng, Trường Xà. Thiên thể.","Juô̆ hơdriêng Sài Lang 'bich atơ̆t đe juô̆ hơdriêng Củ Xích, Thiên Hạt, Viên Quy, Bán Nhân Mã, Thiên Xứng, trương pơ sa. khĕi thê."
"Chòm sao Hiết Hổ nằm kề các chòm sao Tiên Nữ, Tiên Hậu, Tiên Vương, Thiên Nga, Phi Mã. Thiên thể.","Juô̆ hơdriêng Hiết Hổ 'bich atơ̆t đe juô̆ hơdriêng Tiên Nữ, Tiên Hậu, yă yang bĭ, hyôk, phi khĕi. khĕi thê."
"Chòm sao Thiên Cầm nằm kề các chòm sao Thiên Long, Vũ Tiên, Hồ Ly, Thiên Nga. Thiên thể.","Juô̆ hơdriêng Thiên Cầm 'bich atơ̆t đe juô̆ hơdriêng Thiên Long, Vũ Tiên, Hồ Ly, hyôk. khĕi thê."
"Chòm sao Sơn Án nằm kề các chòm sao Yển Diên, Kiếm Ngư, Thủy Xà, Nam Cực, Phi Ngư. Tên gọi. Thiên thể.","Juô̆ hơdriêng Sơn Án 'bich atơ̆t đe juô̆ hơdriêng Yển Diên, Kiếm Ngư, Thuỷ Xà, Nam Cực, Phi Ngư. măt krau. khĕi tơnglơ̆i."
"Chòm sao Nam Ngư nằm kề các chòm sao Ma Kết, Hiển Vi Kính, Thiên Hạc, Ngọc Phu, Bảo Bình. Thiên thể.","Juô̆ hơdriêng tơhnglo ngư 'bich atơ̆t đe juô̆ hơdriêng Ma Kết, Hiển Vi Kính, Thiên Hạc, Ngọc Phu, Bảo Bình. khĕi thê."
Lịch sử. Hạng mục trao giải. Các kỳ liên hoan phim.,Lich lơ̆m. tơdrong buk drong giai. đe ky liên koan khĕi.
Vị trí. Nguồn gốc. Công dụng. Chú ý.,Viê trĭ. tu tơm. kơwơng yǔng. ma hmăng.
Trường có nhiều khu trường sở: Lịch sử.,Trương ơ̆i lư kơnĭt trương sơ: lich lơ̆m.
Chỉ trích của báo chí. Hạng mục trao giải. Phim truyền hình Phim tài liệu và khoa học,Jơ pă trích dĭ pơ-ang chiê. tơdrong buk pơjao giai. khĕi truyên hĭnh khĕi tai liêu wơih khoa hŏk
"Chòm sao Võng Cổ nằm kề các chòm sao Bạch Dương, Thời Chung, Kiếm Ngư, Thủy Xà. Thiên thể.","Juô̆ hơdriêng Võng Cổ 'bich atơ̆t đe juô̆ hơdriêng Bạch Dương, Thời Chung, Kiếm Ngư, Thuỷ Xà. khĕi thê."
Mô tả. Sinh học. Nơi sống và sinh thái. Phân bố. Giá trị. Tình trạng.,Mô ta. đeh hok. dơnŏ arih wơih sinh thai. ich pêng. giă tri. tơdrong.
Mô tả. Sinh học. Rất ít khi gặp cây mẹ và hoàn toàn không gặp cây con (chưa rõ nguyên nhân). Nơi sống và sinh thái. Giá trị. Tình trạng.,Mô ta. đeh hok. tơpă biê̆ kơchang tơjrưm long mĭ wơih gan bĭ tơjrưm long kon ( đim hluôi jên nhân ). dơnŏ arih wơih sinh thai. giă tri. tơdrong.
"Chòm sao Thuẫn Bài nằm kề các chòm sao Thiên Ưng, Nhân Mã, Cự Xà. Thiên thể.","Juô̆ hơdriêng Thuẫn Bài 'bich atơ̆t đe juô̆ hơdriêng Thiên Ưng, Nhân Mã, Cự Xà. khĕi thê."
"Chòm sao Lục Phân Nghi nằm kề các chòm sao Sư Tử, Trường Xà, Cự Tước. Thiên thể.","Juô̆ hơdriêng Lục Phân Nghi 'bich atơ̆t đe juô̆ hơdriêng Sư Tử, trương pơ sa, Cự Tước. khĕi thê."
"Chòm sao Tam Giác nằm kề các chòm sao Tiên Nữ, Song Ngư, Bạch Dương, Anh Tiên. Thiên thể.","Juô̆ hơdriêng kơsŏ 'bich atơ̆t đe juô̆ hơdriêng Tiên Nữ, Song Ngư, Bạch Dương, nhŏng Tiên. khĕi thê."
Thân thế. Cai trị. Quyền lực Quý Ly lớn mạnh. Bị ép nhường ngôi. Sau này. Sau này sách sử không còn ghi chép gì về ông.,Akău tơnglơ̆i. khĕi tri. kuiên lưk Quý Ly grông dêh. bi rôp sư̆ ăn drŏng. tơmunh. tơmunh sơ̆p hla bơ-al lơ̆m đí ghi pơchiêp yưng priêu bok.
Sự hình thành của vũ trụ. Tương lai của vũ trụ.,Sư hĭnh thanh dĭ vu truê. pơkau tơgĕl dĭ vu truê.
Nguồn gốc. Lên ngôi. Tận lực chống Minh. Tôn vinh.,Tu tơm. suôn drŏng. đĭ lưk bơdrăng Minh. đao tao.
Diện tích và dân số. Văn hoá giáo dục. Lịch sử.,Chđeh teh wơih yân sô. văn sinh pơtho. lich lơ̆m.
Khởi nguyên và cấu trúc. Thành viên. Quân sự. Ảnh hưởng văn hóa. Phê bình và giải tán.,Khởi in đŭnh wơih câu kram yai. thanh viên. quân sư. anh hương văn sinh. phê binh wơih giai gôdai.
"Trong số sinh viên của trường nổi tiếng có John Rumbiak, là người thành lập tổ chức nhân quyền ELS-HAM ở Jayapura.","Lơ̆m sô sinh viên dĭ trương đơng 'bơl ơĭ John Rumbiak, la bơngai pơjing anao pơlŏk nhân quyên Els - moih huôl Jayapura."
"Trường hiện có 15 khoa, 1 viện và 1 trường:","Trương boh ơĭ 15 khoa, 1 viên wơih 1 trương:"
Nhiệm vụ. Lịch sử. Cấu trúc của Không quân Hoàng gia.,Nhiêm vŭ. lich lơ̆m. câu kram yai dĭ bĭ quân bĭ gia.
"Kon Tum là thành phố tỉnh lỵ của tỉnh Kon Tum, Việt Nam. Thành phố Kon Tum có 20 dân tộc cùng sinh sống. Khí hậu. Thủy văn. Hành chính. Lịch sử. Sau năm 1975. Ngày 10 tháng 10 năm 1978, chuyển xã Ya Ly về huyện Sa Thầy quản lý. Thành phố Kon Tum có 10 phường và 11 xã trực thuộc. Giao thông.","Kon Tum la thanh phô̆ teh thĭ dĭ Tinh Kon Tum, Việt Nam. Thanh Phô̆ Kon Tum ơ̆i 20 jơ̆n tŭk adrĭng yăl arih. pơlĕnh. thuỷ văn. hanh chinh. lich lơ̆m. đưng kơdŭ sơnăm 1975. năr 10 khĕi 10 sơnăm 1978, chăp Xa Ya Ly sưt Huên Sa Thầy quản lý. Thanh Phô̆ Kon Tum ơ̆i 10 tih wơih 11 xa trựk thuôc. trong năm."
"Quế Lộc là một xã thuộc huyện Nông Sơn, tỉnh Quảng Nam, Việt Nam. Hành chính. Lịch sử. Du lịch. Giao thông.","Kuê̆ hơmŏng long la minh xa thuôc Huên Nông Sơn, Tinh Quảng Nam, Việt Nam. hanh chinh. lich lơ̆m. du lich. trong năm."
"Trường có các ngành Toán học, Luật, và thần học Unification và Pure Love. Trường nhấn mạnh phần ngôn ngữ với Viện Ngôn ngữ Hàn Quốc cũng như các chương trình bằng tiếng Hoa, tiếng Anh, tiếng Nhật, tiếng Nga, và tiếng Tây Ban Nha. Liên kết ngoài.","Trương ơ̆i rim nganh đe toan hok, luât, wơih yang hok Unification wơih Pure Love. trương chơmuk dêh phân bơ̆r adrĭng Viên Ngôn Ngữ Hàn Quốc kung khĕi đe chương trinh tơmăn 'bơl khoa, 'bơl Anh, 'bơl Nhật, 'bơl Nga, wơih 'bơl Tây Ban Nha. liên kêt gloh."
Lịch sử. Sự du nhập Thiếu Lâm danh gia vào Việt Nam.,Lich lơ̆m. sư gơdơ̆u hli xuât 'bĭa huăng danh gia lêch Việt Nam.
Ảnh hưởng. Kinh tế. Xã hội. Công nghiệp hóa dẫn tới ô nhiễm môi trường do chất thải công nghiệp gia tăng. Lịch sử công nghiệp hóa.,Anh hương. kinh tê̆. xa hô̆i. kông nghiê̆p hŏa chĕp truh ô nhiêm môi trương yua chât thai kông nghiê̆p gia kơjung. lich lơ̆m kông nghiê̆p sinh.
"Tiểu sử. Chính biến năm Canh Tý. Lên ngôi nhờ kiêu binh. Họa kiêu binh. Giao tranh với Tây Sơn. Triều thần biết Thuận Hóa mất, tâu rằng: Cái chết. Lại nói với Nguyễn Trang Trần Quán quay sang nói với chúa Chúa bảo","Tiểu kông. chĭnh biên sơnăm canh tyê. suôn drŏng hmăng bơgơm khĕi. đon bơgơm khĕi. pơjao hĭnh chih adrĭng Tây Sơn. alah yang alê Thuận Hoá hiơt, tơ'bơ̆l yuô: blah luôch. laĭ khan adrĭng Nguyễn Trang Trần Quán pơdal kua khan adrĭng klang Chúa Bảo"
Thân thế. Quan nghiệp. Sự nghiệp tuồng. Tạm dịch: Vụ án bồi Ba.,Akău tơnglơ̆i. kuan nghiêp. sư nghiêp kơtum. tam jich: vŭ an tơgŭm pêng.
Lịch sử. Các cơ sở. Trường còn có liên kết với trường:,Lich lơ̆m. đe cơ sơ. trương ară ơĭ liên kêt adrĭng trương:
"Thân thế. Tranh Cãi. Như là , Francois Pallu...","Akău tơnglơ̆i. hĭnh chih tơlach. khĕi la, Francois Pallu."
Kinh tế. Giao thông. Khí hậu. Thể thao.,Kinh tê̆. trong năm. pơlĕnh. thê thao.
Nguồn gốc tên gọi. Lịch sử. Chính trị. Kinh tế. Hành chính. Nhân khẩu. Tôn giáo. Giáo dục - Y tế.,Tu tơm măt krau. lich lơ̆m. chinh tri. kinh tê̆. hanh chinh. nhân khâu. pơkau tak. yao yuk tak - y tê̆.
Các thí sinh. Các nhóm thí sinh. Nhóm 1 Nhóm 2 Nhóm 3 Nhóm 4 Nhóm 5 Nhóm 6 Nhóm 7 Nhóm 8,Đe thí sinh. đe kơtum thí sinh. kơtum 1 kơtum 2 kơtum 3 kơtum 4 kơtum 5 kơtum 6 kơtum tơpơh kơtum 8
Tiểu sử. Hoa hậu Thế giới. Sự nghiệp.,Tiểu kông. pơkau hâ̆u tơnglơ̆i yơ̆i. sư nghiêp.
Vai trò. Lịch sử. Sự thành lập của Lực lượng Quốc phòng Úc. Nhân sự. Số người. Quân hàm.,Sơhngliêng hok sinh. lich lơ̆m. sư pơjing anao dĭ lưk long kuô̆k răp Úc. nhân sư. sô bơngai. kơpul kang.
Từ nguyên. Lịch sử. Ứng dụng. Sản xuất.,Đưng jên. lich lơ̆m. ư̆ng yǔng. choh jang.
Thân thế. Thái tử. Chạy loạn về Hải Ấp. Cai trị. Bỏ chạy lên Lạng Châu. Dựa vào Nguyễn Nộn. Quay về với họ Trần. Bị bức tử. Huệ Tông nói: Gia quyến. Thân Phụ: Lý Cao Tông Bình luận.,Akău tơnglơ̆i. sơrăt bet. kơdơ̆u yŭ priêu Hải Ấp. khĕi tri. tuk kơdơ̆u suôn Lạng Châu. gơning mưt Nguyễn Nộn. pơdal priêu adrĭng Đe Trần. bi lơnguach bet. Huệ Tông khan: gia bơnat. akău khĕi: Lý Cao Tông Bình luân.
Lịch sử. Cơ cấu. Các khu trường sở.,Lich lơ̆m. kơ kơ̆u. đe kơnĭt trương sơ.
Lịch sử. Cuộc chiến tranh thế giới. Sức mạnh.,Lich lơ̆m. ka tơplah thê yơ̆i. lưk dêh.
